日期,茅台收盘,平安收盘
2020-03-17,5554.33,72.14
2020-03-18,5367.86,69.87
2020-03-19,5307.61,67.81
2020-03-20,5504.99,69.0
2020-03-23,5423.18,66.76
2020-03-24,5609.1,68.95
2020-03-25,5730.2,70.35
2020-03-26,5653.92,70.19
2020-03-27,5707.08,69.72
2020-03-30,5689.5,69.15
2020-03-31,5885.46,69.17
2020-04-01,5845.27,69.32
2020-04-02,6056.31,69.67
2020-04-03,6030.13,68.86
2020-04-07,6131.43,69.97
2020-04-08,6130.47,69.39
2020-04-09,6124.14,69.64
2020-04-10,6156.8,70.99
2020-04-13,6143.24,70.13
2020-04-14,6257.8,71.02
2020-04-15,6280.41,70.85
2020-04-16,6318.1,70.38
2020-04-17,6463.31,72.4
2020-04-20,6469.85,73.5
2020-04-21,6332.67,72.37
2020-04-22,6556.27,72.07
2020-04-23,6595.27,72.16
2020-04-24,6586.72,70.5
2020-04-27,6714.55,71.2
2020-04-28,6730.28,72.38
2020-04-29,6709.03,74.0
2020-04-30,6662.8,74.46
2020-05-06,6835.15,73.81
2020-05-07,6895.45,73.23
2020-05-08,6908.56,72.97
2020-05-11,6950.77,73.9
2020-05-12,7000.97,73.93
2020-05-13,7015.79,73.34
2020-05-14,6968.76,72.23
2020-05-15,6900.47,72.23
2020-05-18,7067.34,72.2
2020-05-19,7066.84,72.9
2020-05-20,7091.41,72.95
2020-05-21,7167.29,72.38
2020-05-22,6976.85,70.12
2020-05-25,7151.21,70.03
2020-05-26,7126.59,70.51
2020-05-27,7026.09,70.65
2020-05-28,7056.24,71.51
2020-05-29,7169.8,70.71
2020-06-01,7435.61,72.16
2020-06-02,7391.44,74.28
2020-06-03,7334.11,75.01
2020-06-04,7377.78,75.14
2020-06-05,7463.25,75.3
2020-06-08,7368.28,76.72
2020-06-09,7420.79,76.5
2020-06-10,7456.51,75.58
2020-06-11,7339.94,74.22
2020-06-12,7419.88,74.15
2020-06-15,7252.21,72.54
2020-06-16,7357.12,73.46
2020-06-17,7362.75,73.01
2020-06-18,7402.95,73.4
2020-06-19,7537.82,73.42
2020-06-22,7533.6,72.77
2020-06-23,7711.98,71.96
2020-06-24,7724.71,72.26
2020-06-29,7740.59,71.01
2020-06-30,7739.13,71.4
2020-07-01,7896.86,73.5
2020-07-02,8146.75,76.0
2020-07-03,8135.64,77.96
2020-07-06,8428.13,84.12
2020-07-07,8870.32,83.22
2020-07-08,8836.85,85.69
2020-07-09,8960.76,85.92
2020-07-10,9000.21,82.34
2020-07-13,9342.6,82.36
2020-07-14,9242.15,81.3
2020-07-15,9194.57,80.22
2020-07-16,8498.48,78.22
2020-07-17,8669.57,78.02
2020-07-20,8613.85,82.8
2020-07-21,8769.82,80.76
2020-07-22,8820.47,79.93
2020-07-23,8810.02,79.0
2020-07-24,8404.52,77.0
2020-07-27,8541.44,76.43
2020-07-28,8779.87,76.38
2020-07-29,8789.92,77.3
2020-07-30,8830.12,76.03
2020-07-31,8820.97,75.9
2020-08-03,8769.82,76.44
2020-08-04,8779.82,78.67
2020-08-05,8769.82,77.13
2020-08-06,8618.87,77.15
2020-08-07,8583.9,76.33
2020-08-10,8598.93,77.01
2020-08-11,8641.74,76.77
2020-08-12,8563.55,77.16
2020-08-13,8604.0,76.6
2020-08-14,8734.65,78.19
2020-08-17,8880.37,81.1
2020-08-18,8955.74,79.75
2020-08-19,8865.29,78.17
2020-08-20,8749.72,77.6
2020-08-21,8810.02,78.25
2020-08-24,8912.27,77.8
2020-08-25,9066.28,78.11
2020-08-26,9066.28,76.8
2020-08-27,9086.38,76.54
2020-08-28,9217.03,77.89
2020-08-31,9365.26,76.62
2020-09-01,9443.04,76.38
2020-09-02,9407.97,75.93
2020-09-03,9397.92,75.39
2020-09-04,9282.35,74.82
2020-09-07,9048.7,75.06
2020-09-08,8987.9,77.14
2020-09-09,8870.32,76.48
2020-09-10,8959.76,76.52
2020-09-11,9096.43,77.21
2020-09-14,9262.25,78.55
2020-09-15,9232.1,79.91
2020-09-16,9056.74,78.6
2020-09-17,8782.48,79.0
2020-09-18,8905.49,82.89
2020-09-21,8763.79,80.93
2020-09-22,8758.21,79.07
2020-09-23,8679.27,78.56
2020-09-24,8575.46,77.07
2020-09-25,8604.55,77.59
2020-09-28,8734.65,77.95
2020-09-29,8690.93,76.8
2020-09-30,8772.33,76.26
2020-10-09,8910.51,77.9
2020-10-12,9184.92,80.86
2020-10-13,9126.58,81.38
2020-10-14,9076.33,81.38
2020-10-15,9056.23,81.4
2020-10-16,8990.91,82.0
2020-10-19,8925.59,81.85
2020-10-20,9101.46,81.23
2020-10-21,9098.09,82.4
2020-10-22,9144.17,82.1
2020-10-23,9007.64,83.5
2020-10-26,8644.2,82.2
2020-10-27,8553.75,81.07
2020-10-28,8753.79,79.58
2020-10-29,8810.02,78.66
2020-10-30,8779.97,77.83
2020-11-02,8800.02,77.23
2020-11-03,8905.49,79.16
2020-11-04,8928.5,79.5
2020-11-05,9040.66,80.94
2020-11-06,8933.73,81.3
2020-11-09,9144.52,82.98
2020-11-10,9156.73,83.2
2020-11-11,9088.14,83.52
2020-11-12,9105.43,82.27
2020-11-13,8955.74,80.34
2020-11-16,9081.61,83.1
2020-11-17,9010.0,84.03
2020-11-18,8898.71,85.37
2020-11-19,9032.06,85.42
2020-11-20,9030.91,84.54
2020-11-23,9383.9,86.22
2020-11-24,9249.69,85.0
2020-11-25,9065.68,87.25
2020-11-26,9103.42,89.15
2020-11-27,9121.05,90.1
2020-11-30,9000.51,90.03
2020-12-01,9116.53,93.38
2020-12-02,9121.61,92.85
2020-12-03,9176.83,91.87
2020-12-04,9398.47,92.19
2020-12-07,9495.4,90.38
2020-12-08,9684.33,88.05
2020-12-09,9634.08,87.87
2020-12-10,9598.41,87.68
2020-12-11,9533.59,86.1
2020-12-14,9578.81,87.69
2020-12-15,9513.54,86.3
2020-12-16,9634.08,86.84
2020-12-17,9762.27,88.98
2020-12-18,9659.21,87.79
2020-12-21,9646.65,87.05
2020-12-22,9840.1,84.15
2020-12-23,9642.37,84.85
2020-12-24,9585.54,84.2
2020-12-25,9583.84,83.2
2020-12-28,9799.9,84.62
2020-12-29,9769.75,85.5
2020-12-30,10101.39,85.88
2020-12-31,10428.0,86.98
2021-01-04,10422.98,85.18
2021-01-05,10736.77,84.27
2021-01-06,10940.53,85.74
2021-01-07,11141.52,86.26
2021-01-08,10890.28,86.1
2021-01-11,10939.17,84.03
2021-01-12,11246.54,87.82
2021-01-13,11262.12,87.54
2021-01-14,11111.37,85.27
2021-01-15,10850.08,86.9
2021-01-18,10754.61,87.2
2021-01-19,10485.33,86.8
2021-01-20,10642.21,85.2
2021-01-21,10789.79,84.44
2021-01-22,10839.78,83.8
2021-01-25,11317.39,84.88
2021-01-26,11151.02,83.0
2021-01-27,10885.26,83.04
2021-01-28,10880.23,80.92
2021-01-29,11021.83,79.08
2021-02-01,10987.36,79.27
2021-02-02,11166.65,78.18
2021-02-03,11392.31,76.54
2021-02-04,12050.25,79.62
2021-02-05,12010.81,79.72
2021-02-08,12291.19,78.57
2021-02-09,12731.52,78.13
2021-02-10,13457.95,79.25
2021-02-18,12804.73,82.38
2021-02-19,12749.45,84.2
2021-02-22,11885.29,83.0
2021-02-23,11980.66,84.32
2021-02-24,11387.74,83.78
2021-02-25,11191.77,87.14
2021-02-26,11054.99,85.18
2021-03-01,11231.97,84.84
2021-03-02,10729.49,83.23
2021-03-03,11141.52,86.75
