日期,开盘,最高,最低,收盘,成交量
2020-03-17,71.65,73.0,70.89,72.14,950923
2020-03-18,72.53,72.88,69.85,69.87,852181
2020-03-19,69.1,69.87,66.32,67.81,1236761
2020-03-20,68.71,69.4,67.35,69.0,887269
2020-03-23,66.0,67.5,66.0,66.76,684080
2020-03-24,67.95,69.05,67.82,68.95,791633
2020-03-25,70.6,71.23,69.88,70.35,928186
2020-03-26,69.48,71.0,69.35,70.19,549870
2020-03-27,71.25,71.29,69.72,69.72,603084
2020-03-30,68.6,69.39,68.45,69.15,467956
2020-03-31,70.11,70.35,69.01,69.17,425368
2020-04-01,69.0,70.47,68.9,69.32,556929
2020-04-02,68.4,69.67,67.76,69.67,512029
2020-04-03,69.1,69.26,68.41,68.86,420254
2020-04-07,70.08,70.3,69.56,69.97,619348
2020-04-08,69.57,69.8,69.32,69.39,362459
2020-04-09,69.65,69.96,69.38,69.64,368308
2020-04-10,69.65,72.43,69.38,70.99,766250
2020-04-13,70.45,70.79,70.0,70.13,355170
2020-04-14,70.68,71.17,70.25,71.02,429697
2020-04-15,71.07,71.38,70.65,70.85,381515
2020-04-16,70.5,70.71,70.16,70.38,282943
2020-04-17,71.1,73.32,70.79,72.4,903679
2020-04-20,72.89,73.8,72.1,73.5,654194
2020-04-21,73.05,73.48,71.51,72.37,568984
2020-04-22,72.0,72.07,71.48,72.07,377673
2020-04-23,72.39,72.8,71.82,72.16,329666
2020-04-24,71.03,71.03,70.3,70.5,667116
2020-04-27,70.62,71.61,70.62,71.2,481528
2020-04-28,71.5,72.68,70.97,72.38,613874
2020-04-29,72.38,74.2,72.38,74.0,531156
2020-04-30,74.46,75.3,74.21,74.46,486255
2020-05-06,73.3,73.98,72.9,73.81,629168
2020-05-07,73.7,73.7,72.81,73.23,403123
2020-05-08,72.8,73.29,72.06,72.97,404720
2020-05-11,73.11,74.8,73.11,73.9,495757
2020-05-12,73.9,74.33,73.47,73.93,415450
2020-05-13,73.6,73.93,72.65,73.34,288970
2020-05-14,73.0,73.0,72.17,72.23,349715
2020-05-15,72.61,73.1,72.18,72.23,317507
2020-05-18,72.2,72.98,71.69,72.2,308463
2020-05-19,73.18,73.6,72.61,72.9,341583
2020-05-20,73.0,73.19,72.5,72.95,274835
2020-05-21,73.2,73.3,72.36,72.38,312686
2020-05-22,72.06,72.1,70.1,70.12,577194
2020-05-25,70.0,70.08,69.0,70.03,417101
2020-05-26,70.99,71.0,70.32,70.51,271128
2020-05-27,70.72,71.58,70.52,70.65,287152
2020-05-28,70.68,71.99,70.68,71.51,414260
2020-05-29,70.9,71.3,70.48,70.71,268441
2020-06-01,71.4,72.23,71.23,72.16,457673
2020-06-02,72.02,74.53,72.01,74.28,810523
2020-06-03,75.0,76.69,75.0,75.01,991488
2020-06-04,75.42,75.71,74.58,75.14,453880
2020-06-05,75.14,75.44,74.4,75.3,349808
2020-06-08,75.7,77.22,75.7,76.72,766974
2020-06-09,76.73,77.18,76.32,76.5,388517
2020-06-10,76.58,76.7,75.47,75.58,345453
2020-06-11,75.21,75.47,73.8,74.22,586113
2020-06-12,73.1,74.15,72.97,74.15,488259
2020-06-15,73.68,73.78,72.45,72.54,551304
2020-06-16,73.6,73.68,73.14,73.46,341905
2020-06-17,73.2,73.38,72.6,73.01,325896
2020-06-18,72.85,73.77,72.38,73.4,418632
2020-06-19,73.44,74.09,73.0,73.42,635990
2020-06-22,73.0,73.92,72.61,72.77,671831
2020-06-23,72.5,72.6,71.67,71.96,779636
2020-06-24,72.25,72.85,72.01,72.26,605136
2020-06-29,72.07,72.26,70.8,71.01,714838
2020-06-30,71.36,71.78,71.0,71.4,451503
2020-07-01,71.59,73.5,71.2,73.5,967560
2020-07-02,73.28,76.01,73.0,76.0,1474467
2020-07-03,76.15,78.49,76.14,77.96,1703820
2020-07-06,79.12,84.88,79.12,84.12,2806695
2020-07-07,87.0,87.6,83.2,83.22,2222041
