日期,茅台收盘,平安收盘,茅台收益率,平安收益率
2020-03-18,5367.86,69.87,-0.03357200598452026,-0.03146659273634589
2020-03-19,5307.61,67.81,-0.011224212255908306,-0.029483326177186187
2020-03-20,5504.99,69.0,0.037188112917113436,0.017549034065772018
2020-03-23,5423.18,66.76,-0.014861062417915294,-0.03246376811594198
2020-03-24,5609.1,68.95,0.03428246895732756,0.03280407429598564
2020-03-25,5730.2,70.35,0.02158991638587282,0.02030456852791862
2020-03-26,5653.92,70.19,-0.013311926285295428,-0.0022743425728499744
2020-03-27,5707.08,69.72,0.00940232617369885,-0.0066961105570594315
2020-03-30,5689.5,69.15,-0.0030803843646838303,-0.008175559380378505
2020-03-31,5885.46,69.17,0.03444239388346948,0.0002892263195950484
2020-04-01,5845.27,69.32,-0.006828693084312776,0.002168570189388319
2020-04-02,6056.31,69.67,0.03610440578450613,0.005049047893825875
2020-04-03,6030.13,68.86,-0.004322764191397099,-0.011626237979044052
2020-04-07,6131.43,69.97,0.016798974483137163,0.016119663084519287
2020-04-08,6130.47,69.39,-0.00015657032698734863,-0.00828926682864084
2020-04-09,6124.14,69.64,-0.0010325472598349261,0.0036028246144976794
2020-04-10,6156.8,70.99,0.005332993693808463,0.01938541068351518
2020-04-13,6143.24,70.13,-0.002202442827442863,-0.012114382307367277
2020-04-14,6257.8,71.02,0.018648140069409624,0.012690717239412619
2020-04-15,6280.41,70.85,0.0036130908626033076,-0.0023936919177696137
2020-04-16,6318.1,70.38,0.006001200558562347,-0.006633733239237771
2020-04-17,6463.31,72.4,0.022983175321694915,0.028701335606706513
2020-04-20,6469.85,73.5,0.001011865437368753,0.015193370165745845
2020-04-21,6332.67,72.37,-0.021202964520043,-0.015374149659863834
2020-04-22,6556.27,72.07,0.03530896130700012,-0.004145364101147075
2020-04-23,6595.27,72.16,0.0059485042562310575,0.0012487859025946957
2020-04-24,6586.72,70.5,-0.0012963836203825352,-0.023004434589800393
2020-04-27,6714.55,71.2,0.019407231520392587,0.009929078014184523
2020-04-28,6730.28,72.38,0.0023426737458205338,0.016573033707865115
2020-04-29,6709.03,74.0,-0.0031573723530076148,0.022381873445703304
2020-04-30,6662.8,74.46,-0.006890712964467194,0.006216216216216042
2020-05-06,6835.15,73.81,0.025867503151828064,-0.008729519204942138
2020-05-07,6895.45,73.23,0.008822044870997692,-0.007858013819265652
2020-05-08,6908.56,72.97,0.0019012537252827144,-0.003550457462788592
2020-05-11,6950.77,73.9,0.006109811596048953,0.012744963683705812
2020-05-12,7000.97,73.93,0.007222221422950259,0.0004059539918810362
2020-05-13,7015.79,73.34,0.0021168495222805284,-0.007980522115514699
2020-05-14,6968.76,72.23,-0.006703450359831109,-0.015134987728388283
2020-05-15,6900.47,72.23,-0.00979944782142017,0.0
2020-05-18,7067.34,72.2,0.024182410763324835,-0.0004153398864737978
2020-05-19,7066.84,72.9,-7.074797590045367e-05,0.00969529085872578
2020-05-20,7091.41,72.95,0.0034768015124155838,0.000685871056241405
2020-05-21,7167.29,72.38,0.010700269762994985,-0.00781357093899937
2020-05-22,6976.85,70.12,-0.026570712221774095,-0.031224095053882128
2020-05-25,7151.21,70.03,0.024991220966481986,-0.0012835139760410952
2020-05-26,7126.59,70.51,-0.003442774020060879,0.006854205340568464
2020-05-27,7026.09,70.65,-0.014102116159341316,0.0019855339668133354
2020-05-28,7056.24,71.51,0.004291149131309124,0.012172682236376575
2020-05-29,7169.8,70.71,0.016093556908495232,-0.011187246538945761
2020-06-01,7435.61,72.16,0.037073558537197515,0.020506293310705637
2020-06-02,7391.44,74.28,-0.005940333072875004,0.029379157427938063
